Customer,Code,Need to update code,Title,Description,Usage,Specifications,Category String2,Category Name - 1,Category Name - 2,Category Name - 3,Category Name - 4,Category Name - 5,Category Name - 6,Category Name - 7,Category Name - 8,Category Name - 9,Featured Image,Product Image File - 1,Product Image URL - 1,Product Image File - 2,Product Image URL - 2,Product Image File - 3,Product Image URL - 3,Product Image File - 4,Product Image URL - 4,Product Image File - 5,Product Image URL - 5,Product Image File - 6,Product Image URL - 6,Product Image File - 7,Product Image URL - 7,Product Image File - 8,Product Image URL - 8,Product Image File - 9,Product Image URL - 9,Product Image File - 10,Product Image URL - 10
Spotlight,A-AH,Y,,<h2>A-AH</h2> <p>3mm clear acrylic&nbsp; for counter top display of POS material.</p> <p>Available in A4 and A6.</p>,,,Spotlight/Acrylic Display,Acrylic Display,,,,,,,,,http://www.sjdg.com.au/product_images/w/042/A-AH.line__62766.jpg,A-AHA-product__76529.jpg,http://www.sjdg.com.au/product_images/e/694/A-AHA-product__76529.jpg,A-AH.line__62766.jpg,http://www.sjdg.com.au/product_images/w/042/A-AH.line__62766.jpg,,,,,,,,,,,,,,,,
Spotlight,A-GCS,,Acrylic Gift Card Std 2 Prong,"<h2>A-GCS</h2> <p class="p1">3mm clear acrylic.freestanding. 120mm wide x 420mm high. 50mm x 120mm header panel. Complete with 2 x 75mm plastic hanging hooks.</p>""h2>A-GCS</h2> <p class="p1">3mm clear acrylic.freestanding. 120mm wide x 420mm high. 50mm x 120mm header panel. Complete with 2 x 75mm pl""2>A-GCS</h2> <p class="p1">3mm clear acrylic.freestanding. 120mm wide x 420mm high. 50mm x 120mm header panel. Co"">A-GCS</h2> <p class="p1">3mm clear acrylic.freestanding. 120mm wide x 420mm high. 50mm x ""A-GCS</h2> <p class="p1">3mm clear acrylic.freestanding. 120mm wide ""-GCS</h2> <p class="p1">3mm clear acrylic.frees""GCS</h2> <p class="p1">3mm ""CS</h2> ",,,Spotlight/Acrylic Display,Acrylic Display,,,,,,,,,http://www.sjdg.com.au/product_images/n/955/A-GCS__52947.jpg,A-GCS__52947.jpg,http://www.sjdg.com.au/product_images/n/955/A-GCS__52947.jpg,,,,,,,,,,,,,,,,,,
Spotlight,A-HPHA4,,Hanging POS Holder A4,<h2>A-HPHA4</h2> <p>3mm clear acrylic with 2 x 3mm hanging holes.To hold A4 size POS material.</p>,,,Spotlight/Acrylic Display,Acrylic Display,,,,,,,,,http://www.sjdg.com.au/product_images/p/160/A-HPHA4-product__87682.jpg,A-HPHA3-group__11430.jpg,http://www.sjdg.com.au/product_images/i/633/A-HPHA3-group__11430.jpg,A-HPHA4-product__87682.jpg,http://www.sjdg.com.au/product_images/p/160/A-HPHA4-product__87682.jpg,,,,,,,,,,,,,,,,
Spotlight,A-PHPA1,Y,,"<h2>A-PHPA1</h2> <p class="p1">3mm clear acrylic for use with cable systems P-PHEG/P-CSTB.</p>""h2>A-PHPA1</h2> <p class="p1">3mm clear acrylic for use with cable ""2>A-PHPA1</h2> <p class="p1">3mm clear ac"">A-PHPA1</h2> <p",,,Spotlight/Acrylic Display,Acrylic Display,,,,,,,,,http://www.sjdg.com.au/product_images/k/074/A-PHPA-product__72063.jpg,A-PHPA-product__72063.jpg,http://www.sjdg.com.au/product_images/k/074/A-PHPA-product__72063.jpg,,,,,,,,,,,,,,,,,,
Spotlight,A-SHA4,,Straight Card Holder A4,<h2>A-SHA4</h2> <p>3mm clear acrylic. Suits A4 sheets or light card.</p>,,,Spotlight/Acrylic Display,Acrylic Display,,,,,,,,,http://www.sjdg.com.au/product_images/q/417/A-SHA-product__22707.jpg,A-SHA-usage2__13255.jpg,http://www.sjdg.com.au/product_images/s/432/A-SHA-usage2__13255.jpg,A-SHA-product__22707.jpg,http://www.sjdg.com.au/product_images/q/417/A-SHA-product__22707.jpg,,,,,,,,,,,,,,,,
Spotlight,A-SHA4,,Straight Card Holder A4,"<h2>A-SHA4</h2> <p>Straight Card Holder, 3mm clear acrylic.</p>",,,Spotlight/Acrylic Display,Acrylic Display,,,,,,,,,http://www.sjdg.com.au/product_images/j/508/A-SHA-product__59273.jpg,A-SHA-usage1__97692.jpg,http://www.sjdg.com.au/product_images/r/148/A-SHA-usage1__97692.jpg,A-SHA-product__59273.jpg,http://www.sjdg.com.au/product_images/j/508/A-SHA-product__59273.jpg,,,,,,,,,,,,,,,,
Spotlight,B-BC,,Business Card Holder,<h2>B-BC</h2> <p>Clear acrylic. Holds business cards up to 93mm wide.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/s/061/B-BC-product__08197.jpg,B-BC-usage1__28040.jpg,http://www.sjdg.com.au/product_images/n/024/B-BC-usage1__28040.jpg,B-BC-product__08197.jpg,http://www.sjdg.com.au/product_images/s/061/B-BC-product__08197.jpg,,,,,,,,,,,,,,,,
Spotlight,B-E,Y,,"<h2>B-E</h2> <p>Vertical, full height support for brochures, scratch resistant, clip on or free standing when combined with the universal base bracket (E-EUBB)</p> <p>Available in A4, A5, DL.</p>",,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/f/673/B-EA4FB-product__12192.jpg,B-EA4FB-product__12192.jpg,http://www.sjdg.com.au/product_images/f/673/B-EA4FB-product__12192.jpg,,,,,,,,,,,,,,,,,,
Spotlight,B-EWSA,,Expanda Wire Slatwall Adaptor,<h2>B-EWSA</h2> <p>Converts Expanda brochure holders for use in slatwall.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/r/243/B-EWSA-product__35032.jpg,B-EWSA-usage2__78445.jpg,http://www.sjdg.com.au/product_images/u/637/B-EWSA-usage2__78445.jpg,B-EWSA-usage3__87246.jpg,http://www.sjdg.com.au/product_images/u/766/B-EWSA-usage3__87246.jpg,B-EWSA-product__35032.jpg,http://www.sjdg.com.au/product_images/r/243/B-EWSA-product__35032.jpg,,,,,,,,,,,,,,
Spotlight,B-FSA,Y,,<h2>B-FSA</h2> <p>3mm clear acrylic.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/y/360/B-FSA5.line__87870.jpg,B-FSA5-product__44976.jpg,http://www.sjdg.com.au/product_images/r/006/B-FSA5-product__44976.jpg,B-FSA5.line__87870.jpg,http://www.sjdg.com.au/product_images/y/360/B-FSA5.line__87870.jpg,,,,,,,,,,,,,,,,
Spotlight,B-FSA43,,Brochure Holder F/S 3 x A4,<h2>B-FSA43</h2> <p>3mm clear acrylic. Free standing to hold 3&nbsp; sets of A4 brochures to 225mm wide.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/n/496/B-FSA43-product__97034.jpg,B-FSA43-product__97034.jpg,http://www.sjdg.com.au/product_images/n/496/B-FSA43-product__97034.jpg,,,,,,,,,,,,,,,,,,
Spotlight,B-WA4,,Brochure Holder W/M A4,"<h2>B-WA4</h2> <p>Wall mounting by screw, adhesive or on aluminium wall bracket B-EAWB.... Holds brochures with full height support&nbsp; to 230mm wide. 3mm clear acrylic.</p>",,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/j/756/B-WA4__48610.jpg,B-WA4__48610.jpg,http://www.sjdg.com.au/product_images/j/756/B-WA4__48610.jpg,,,,,,,,,,,,,,,,,,
Spotlight,B-WA43,,Brochure Holder W/M A4 x 3,<h2>B-WA43</h2> <p>Wall mounting by screw or adhesive. 3 x 30mm deep A4 pockets. 3mm clear acrylic.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/p/815/B-WA43-product__39721.jpg,B-WA43-usage1__65295.jpg,http://www.sjdg.com.au/product_images/h/727/B-WA43-usage1__65295.jpg,B-WA43-product__39721.jpg,http://www.sjdg.com.au/product_images/p/815/B-WA43-product__39721.jpg,,,,,,,,,,,,,,,,
Spotlight,B-WA4D,,Brochure Holder A4 W/M Deep,<h2>B-WA4D</h2> <p>Wall mounting. 3mm clear acylic. Holds brochures to 215mm wide. Extra deep 80mm capacity.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/n/444/B-WA4D.line__10956.jpg,B-WA4D-product__46351.jpg,http://www.sjdg.com.au/product_images/e/090/B-WA4D-product__46351.jpg,B-WA4D.line__10956.jpg,http://www.sjdg.com.au/product_images/n/444/B-WA4D.line__10956.jpg,,,,,,,,,,,,,,,,
Spotlight,B-WA5,,Brochure Holder W/M A5,<h2>B-WA5</h2> <p>Wall mounting by screw or adhesive. Holds brochures with full height support to 160mm wide. 3mm clear acrylic.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/b/004/B-WA5-product__50992.jpg,B-WA5-product__50992.jpg,http://www.sjdg.com.au/product_images/b/004/B-WA5-product__50992.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH,Y,,<h2>C-AWH</h2> <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-PG900,,Poster Gripper 900mm,"<h2>C-PG900</h2> <p>Clear plastic poster gripper with hinged section with flexible plastic "jaws" to hold material from single sheet paper to 2mm thick. Use with C-PGHC hanging clips.</p>""h2>C-PG900</h2> <p>Clear plastic poster gripper with hinged section with flexible plastic "jaws""2>C-",,,Spotlight;Spotlight/Poster Display Systems ,Spotlight,Poster Display Systems ,,,,,,,,http://www.sjdg.com.au/product_images/f/191/C-PG900-product__27136.jpg,C-PG-usage1__88317.jpg,http://www.sjdg.com.au/product_images/e/092/C-PG-usage1__88317.jpg,C-PG-usage1__94951.jpg,http://www.sjdg.com.au/product_images/j/468/C-PG-usage1__94951.jpg,C-PG-usage2__07988.jpg,http://www.sjdg.com.au/product_images/h/119/C-PG-usage2__07988.jpg,C-PG900-product__27136.jpg,http://www.sjdg.com.au/product_images/f/191/C-PG900-product__27136.jpg,,,,,,,,,,,,
Spotlight,C-PGHC,,Poster Gripper Hanging Clip,<h2>C-PGHC</h2> <p>Clear clips to slide into C-PG.. poster gripper channels. Use two or more per channel.</p>,,,Spotlight/Poster Display Systems ,Poster Display Systems ,,,,,,,,,http://www.sjdg.com.au/product_images/h/368/C-PGHC-product__28177.jpg,C-PG-usage1__97659.jpg,http://www.sjdg.com.au/product_images/c/260/C-PG-usage1__97659.jpg,C-PG-usage2__95324.jpg,http://www.sjdg.com.au/product_images/o/007/C-PG-usage2__95324.jpg,C-PG-usage1__31271.jpg,http://www.sjdg.com.au/product_images/o/078/C-PG-usage1__31271.jpg,C-PGHC-line__68944.jpg,http://www.sjdg.com.au/product_images/i/376/C-PGHC-line__68944.jpg,C-PGHC-product__28177.jpg,http://www.sjdg.com.au/product_images/h/368/C-PGHC-product__28177.jpg,,,,,,,,,,
Spotlight,D-CC0268,,Canoe Clip 8mm White,"<h2>D-CC0268</h2> <p>Connects POS, shelf management and display products permanently with 8mm fixing hole.</p> <p>Pack of 10</p>",,,Spotlight/Shelf Management,Shelf Management,,,,,,,,,http://www.sjdg.com.au/product_images/n/187/D-CC0268-product__23288.jpg,D-CC0268-product__23288.jpg,http://www.sjdg.com.au/product_images/n/187/D-CC0268-product__23288.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-CT,Y,,<h2>D-CT</h2> <p>Black nylon ties for permanent attachment of POS material.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/u/742/D-CT190BK-product__92275.jpg,D-CTBK-usage1__41757.jpg,http://www.sjdg.com.au/product_images/k/707/D-CTBK-usage1__41757.jpg,D-CT190BK-product__92275.jpg,http://www.sjdg.com.au/product_images/u/742/D-CT190BK-product__92275.jpg,,,,,,,,,,,,,,,,
