Category String,Code,Description,Usage,Specifications,Category String2,Category Name - 1,Category Name - 2,Category Name - 3,Category Name - 4,Category Name - 5,Category Name - 6,Category Name - 7,Category Name - 8,Category Name - 9,Featured Image,Product Image File - 1,Product Image URL - 1,Product Image File - 2,Product Image URL - 2,Product Image File - 3,Product Image URL - 3,Product Image File - 4,Product Image URL - 4,Product Image File - 5,Product Image URL - 5,Product Image File - 6,Product Image URL - 6,Product Image File - 7,Product Image URL - 7,Product Image File - 8,Product Image URL - 8,Product Image File - 9,Product Image URL - 9,Product Image File - 10,Product Image URL - 10
Spotlight,B-WA4D, <p>Wall mounting. 3mm clear acylic. Holds brochures to 215mm wide. Extra deep 80mm capacity.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/n/444/B-WA4D.line__10956.jpg,B-WA4D-product__46351.jpg,http://www.sjdg.com.au/product_images/e/090/B-WA4D-product__46351.jpg,B-WA4D.line__10956.jpg,http://www.sjdg.com.au/product_images/n/444/B-WA4D.line__10956.jpg,,,,,,,,,,,,,,,,
Spotlight,B-WA5, <p>Wall mounting by screw or adhesive. Holds brochures with full height support to 160mm wide. 3mm clear acrylic.</p>,,,Spotlight/Brochure Holders,Brochure Holders,,,,,,,,,http://www.sjdg.com.au/product_images/b/004/B-WA5-product__50992.jpg,B-WA5-product__50992.jpg,http://www.sjdg.com.au/product_images/b/004/B-WA5-product__50992.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH1000, <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH150, <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH300, <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH400, <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH600, <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH900, <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-AWH100, <p>2mm diameter steel with hanging hooks on each end for ceiling hung signage.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,C-AWH1200-product__02416.jpg,http://www.sjdg.com.au/product_images/c/534/C-AWH1200-product__02416.jpg,,,,,,,,,,,,,,,,,,
Spotlight,C-PG900," <p>Clear plastic poster gripper with hinged section with flexible plastic ""jaws"" to hold material from single sheet paper to 2mm thick. Use with C-PGHC hanging clips.</p>",,,Spotlight;Spotlight/Poster Display Systems ,Spotlight,Poster Display Systems ,,,,,,,,http://www.sjdg.com.au/product_images/f/191/C-PG900-product__27136.jpg,C-PG-usage1__88317.jpg,http://www.sjdg.com.au/product_images/e/092/C-PG-usage1__88317.jpg,C-PG-usage1__94951.jpg,http://www.sjdg.com.au/product_images/j/468/C-PG-usage1__94951.jpg,C-PG-usage2__07988.jpg,http://www.sjdg.com.au/product_images/h/119/C-PG-usage2__07988.jpg,C-PG900-product__27136.jpg,http://www.sjdg.com.au/product_images/f/191/C-PG900-product__27136.jpg,,,,,,,,,,,,
Spotlight,C-PGHC, <p>Clear clips to slide into C-PG.. poster gripper channels. Use two or more per channel.</p>,,,Spotlight/Poster Display Systems ,Poster Display Systems ,,,,,,,,,http://www.sjdg.com.au/product_images/h/368/C-PGHC-product__28177.jpg,C-PG-usage1__97659.jpg,http://www.sjdg.com.au/product_images/c/260/C-PG-usage1__97659.jpg,C-PG-usage2__95324.jpg,http://www.sjdg.com.au/product_images/o/007/C-PG-usage2__95324.jpg,C-PG-usage1__31271.jpg,http://www.sjdg.com.au/product_images/o/078/C-PG-usage1__31271.jpg,C-PGHC-line__68944.jpg,http://www.sjdg.com.au/product_images/i/376/C-PGHC-line__68944.jpg,C-PGHC-product__28177.jpg,http://www.sjdg.com.au/product_images/h/368/C-PGHC-product__28177.jpg,,,,,,,,,,
Spotlight,D-CC0268," <p>Connects POS, shelf management and display products permanently with 8mm fixing hole.</p> <p>Pack of 10</p>",,,Spotlight/Shelf Management,Shelf Management,,,,,,,,,http://www.sjdg.com.au/product_images/n/187/D-CC0268-product__23288.jpg,D-CC0268-product__23288.jpg,http://www.sjdg.com.au/product_images/n/187/D-CC0268-product__23288.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-CT100, <p>100mm Clear nylon ties for permanent attachment of POS material.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/j/269/D-CT-product__80164.jpg,D-CT.usage1__14197.jpg,http://www.sjdg.com.au/product_images/p/273/D-CT.usage1__14197.jpg,D-CT-product__80164.jpg,http://www.sjdg.com.au/product_images/j/269/D-CT-product__80164.jpg,,,,,,,,,,,,,,,,
Spotlight,D-CT140, <p>140mm Clear nylon ties for permanent attachment of POS material.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/j/269/D-CT-product__80164.jpg,D-CT.usage1__14197.jpg,http://www.sjdg.com.au/product_images/p/273/D-CT.usage1__14197.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-CT190, <p>190mm Clear nylon ties for permanent attachment of POS material.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/j/269/D-CT-product__80164.jpg,D-CT.usage1__14197.jpg,http://www.sjdg.com.au/product_images/p/273/D-CT.usage1__14197.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-CT280, <p>280mm Clear nylon ties for permanent attachment of POS material.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/j/269/D-CT-product__80164.jpg,D-CT.usage1__14197.jpg,http://www.sjdg.com.au/product_images/p/273/D-CT.usage1__14197.jpg,,,,,,,,,,,,,,,,,,
Spotlight,D-GFF37, <p>Flexible gripper to hold POS material to 3mm thick. 25mm base with foam adhesive tape. 37mm long.</p>,,,Spotlight/Display Accessories,Display Accessories,,,,,,,,,http://www.sjdg.com.au/product_images/g/062/D-GFF37-product__28865.jpg,D-GFF37-product__28865.jpg,http://www.sjdg.com.au/product_images/g/062/D-GFF37-product__28865.jpg,,,,,,,,,,,,,,,,,,
